name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,degree_length,in_state_total,out_of_state_total
Berry College,2177,Georgia,0.6132292145153881,0.0009186954524575,0.0119430408819476,0.0427193385392742,0.0615525953146531,0.0013780431786862,0.8295819935691319,0.0284795590261828,0.0087276067983463,44900,21,16166.0,Private,4 Year,49326,49326
Black Hills State University,4489,South Dakota,0.649587881488082,0.0343060815326353,0.0049008687903764,0.0091334372911561,0.0369792826910225,0.0022276676319893,0.8235687235464468,0.031855647137447,0.0162619737135219,40400,11,12382.0,Public,4 Year,15711,18756
Bloomfield College,2004,New Jersey,0.6377245508982036,0.0059880239520958,0.0279441117764471,0.5209580838323353,0.2415169660678642,0.0039920159680638,0.1077844311377245,0.0054890219560878,0.0349301397205588,48400,17,15734.0,Private,4 Year,41500,41500
Boise State University,22227,Idaho,0.5452827642056958,0.0059387231745174,0.0196157826067395,0.016061546767445,0.0966842128942277,0.0031943132226571,0.7611913438610699,0.0313582579745354,0.0367121068970171,50100,14,10816.0,Public,4 Year,18386,34468
Boston College,14317,Massachusetts,0.5453656492281903,0.0010477055249004,0.079905008032409,0.0401620451211846,0.0864706293217852,6.984703499336453e-05,0.5796605434099322,0.0261926381225117,0.0978556960257037,63600,13,15564.0,Private,4 Year,69942,69942
Boston University,32112,Massachusetts,0.5843609865470852,0.0008408071748878,0.1073741903338316,0.0370577977080219,0.0753300946686597,0.0010587942202291,0.4559666168410563,0.0270303936223218,0.1996761335326357,61400,25,26951.0,Private,4 Year,69668,69668
Bowie State University,5695,Maryland,0.6291483757682177,0.0010535557506584,0.0142230026338893,0.8342405618964004,0.0258121158911325,0.0015803336259877,0.0352941176470588,0.0294995610184372,0.0410886742756804,50300,11,9568.0,Public,4 Year,19137,29777
Bradley University,5300,Illinois,0.5043396226415094,0.0018867924528301,0.0271698113207547,0.0462264150943396,0.0532075471698113,0.000943396226415,0.6616981132075471,0.0130188679245283,0.0730188679245283,55600,38,14732.0,Private,4 Year,44380,44380
Brandeis University,5945,Massachusetts,0.5429772918418839,0.001009251471825,0.0978973927670311,0.0462573591253153,0.0543313708999158,0.0005046257359125,0.4445752733389403,0.0198486122792262,0.2328006728343145,60600,29,12754.0,Private,4 Year,70835,70835
Brown University,9181,Rhode Island,0.5099662346149657,0.0028319355190066,0.1197037359764731,0.059906328286679,0.0973750136150746,0.0014159677595033,0.4232654394946084,0.0409541444287114,0.1676287986058163,68200,43,5404.0,Private,4 Year,70326,70326
Bryant University,3462,Rhode Island,0.414789139225881,0.0034662045060658,0.0407279029462738,0.0418833044482957,0.0623916811091854,0.0014442518775274,0.7270363951473137,0.0127094165222414,0.0805892547660312,60500,8,26973.0,Private,4 Year,59675,59675
Bucknell University,3624,Pennsylvania,0.5195916114790287,0.0002759381898454,0.0347682119205298,0.0314569536423841,0.0516004415011037,0.0,0.782560706401766,0.0342163355408388,0.0612582781456953,66700,40,15692.0,Private,4 Year,69754,69754
Butler University,4848,Indiana,0.593440594059406,0.0016501650165016,0.024546204620462,0.0375412541254125,0.0301155115511551,0.0,0.8263201320132013,0.0187706270627062,0.0286716171617161,51800,9,21603.0,Private,4 Year,54950,54950
California Institute of Technology,2209,California,0.3073789044816659,0.0018107741059302,0.2625622453598913,0.0122227252150294,0.0783159800814848,0.0004526935264825,0.3363512901765504,0.0307831598008148,0.2729741964689905,84100,97,6444.0,Private,4 Year,67887,67887
Calvin College,3993,Michigan,0.5537190082644629,0.004007012271475,0.0433258201853243,0.0235411970949161,0.0323065364387678,0.0,0.7458051590282995,0.0277986476333583,0.1064362634610568,50200,23,17538.0,Private,4 Year,44800,44800
Cameron University,5537,Oklahoma,0.6053819757991692,0.0534585515622178,0.0167960989705616,0.1554993678887484,0.1163084702907711,0.00650171573054,0.5055083980494853,0.0771175726927939,0.0474986454758894,43900,14,7385.0,Public,4 Year,11902,21322
Campbell University,6101,North Carolina,0.52860186854614,0.0065563022455335,0.0316341583346992,0.1550565481068677,0.0562202917554499,0.001475168005245,0.6149811506310441,0.0183576462874938,0.0198328142927388,46300,8,20029.0,Private,4 Year,43930,43930
Campbellsville University,3427,Kentucky,0.5795156113218558,0.0017508024511234,0.0049606069448497,0.1094251531952144,0.016340822877152,0.0011672016340822,0.7726874817624745,0.0119638167493434,0.0659468923256492,37600,7,12737.0,Private,4 Year,33400,33400
Cardinal Stritch University,3811,Wisconsin,0.6436630805562844,0.0047231697717134,0.0199422723694568,0.2209393859879296,0.0768827079506691,0.0020991865652059,0.5911834164261349,0.018630280766203,0.0317501967987404,47000,2,18118.0,Private,4 Year,38438,38438
Carleton College,2057,Minnesota,0.5279533300923676,0.0014584346135148,0.089450656295576,0.0384054448225571,0.0631988332523091,0.0009722897423432,0.648031113271755,0.0452114730189596,0.095770539620807,58800,45,10770.0,Private,4 Year,68844,68844
Carnegie Mellon University,12587,Pennsylvania,0.3799157861285453,0.0007150234368793,0.1645348375307857,0.0319377135139429,0.0456026058631921,0.0001588940970842,0.2976880908874235,0.0265353142130769,0.3829347739731469,75900,66,20372.0,Private,4 Year,69883,69883
Carroll University,3446,Wisconsin,0.654962275101567,0.0005803830528148,0.0336622170632617,0.0107370864770748,0.0551363900174114,0.0008705745792222,0.851131746952989,0.0197330237957051,0.0156703424260011,45600,14,17163.0,Private,4 Year,41402,41402
Carson-Newman University,2362,Tennessee,0.5952582557154953,0.0012701100762066,0.0055038103302286,0.0647756138865368,0.0143945808636748,0.0,0.7256562235393734,0.0,0.0474174428450465,42700,5,15746.0,Private,4 Year,36710,36710
Carthage College,2948,Wisconsin,0.5396879240162822,0.0040705563093622,0.0111940298507462,0.051899592944369,0.0427408412483039,0.0023744911804613,0.7388059701492538,0.0240841248303934,0.005427408412483,48900,17,21145.0,Private,4 Year,55540,55540
Case Western Reserve University,10771,Ohio,0.4994893696035651,0.0012997864636524,0.1432550366725466,0.0522699842168786,0.0412217992758332,0.0004642094513044,0.4993965277133042,0.0249744684801782,0.1877263021075109,66600,37,19976.0,Private,4 Year,64232,64232
Central Connecticut State University,12037,Connecticut,0.5013707734485336,0.0019107751100772,0.0356401096618758,0.1017695439062889,0.1129018858519564,0.0009138489656891,0.6778267010052339,0.0240923818227133,0.0168646672758993,53100,15,12542.0,Public,4 Year,22792,34032
Central Michigan University,26879,Michigan,0.5694780311767551,0.0067338814688046,0.0117935935116633,0.1122065553033967,0.0335205922839391,0.0008928903605044,0.7313888165482347,0.0224710740726961,0.0412961791733323,47700,13,9965.0,Public,4 Year,23036,23036
Central Washington University,11799,Washington,0.520976353928299,0.0055089414357148,0.0450885668276972,0.0309348249851682,0.1211967115857276,0.0116111534875836,0.6209848292228155,0.0601745910670395,0.0087295533519789,52700,13,8907.0,Public,4 Year,19187,34168
Chadron State College,3033,Nebraska,0.581932080448401,0.0118694362017804,0.0082426640290141,0.0382459610946257,0.059347181008902,0.0036267721727662,0.7566765578635015,0.027365644576327,0.0181338608638311,42300,3,7330.0,Public,4 Year,14576,14576
Chaminade University of Honolulu,2756,Hawaii,0.6538461538461539,0.0087082728592162,0.2634252539912917,0.0551523947750362,0.0587808417997097,0.1556603773584905,0.1650943396226415,0.0961538461538461,0.0214078374455732,45400,3,15705.0,Private,4 Year,39004,39004
Champlain College,3585,Vermont,0.4170153417015341,0.00418410041841,0.0150627615062761,0.0270571827057182,0.0382147838214783,0.000557880055788,0.6688981868898187,0.0566248256624825,0.00976290097629,51100,14,24723.0,Private,4 Year,56364,56364
Charleston Southern University,3367,South Carolina,0.6225126225126225,0.0053460053460053,0.0121770121770121,0.275022275022275,0.032076032076032,0.0011880011880011,0.6005346005346005,0.0198990198990199,0.0071280071280071,42800,9,14015.0,Private,4 Year,35700,35700
Christopher Newport University,5221,Virginia,0.5740279639915725,0.0028730128327906,0.0239417736065887,0.079295154185022,0.0494158207239992,0.0009576709442635,0.7546447040796782,0.0480750814020302,0.0026814786439379,50800,25,14370.0,Public,4 Year,26214,38680
Clark Atlanta University,3485,Georgia,0.7383070301291248,0.0040172166427546,0.0040172166427546,0.8407460545193687,0.0040172166427546,0.0,0.0017216642754662,0.0,0.036441893830703,46300,15,28203.0,Private,4 Year,32960,32960
Clark University,3423,Massachusetts,0.5685071574642127,0.0008764241893076,0.0522933099620216,0.0353491089687408,0.0493718959976628,0.0005842827928717,0.5118317265556529,0.0172363423897166,0.2474437627811861,52600,14,16851.0,Private,4 Year,54900,54900
Clarkson University,3873,New York,0.30570617092693,0.0025819777949909,0.0315001290988897,0.0198812290214304,0.0438936225148463,0.000258197779499,0.7725277562612961,0.018848437903434,0.0823650916602117,66400,58,15359.0,Private,4 Year,64352,64352
Clemson University,21857,South Carolina,0.4648396394747678,0.0018758292537859,0.0177975019444571,0.061627853776822,0.0271308962803678,0.0006405270622683,0.772109621631514,0.021274648853914,0.0717847829070778,57500,39,6666.0,Public,4 Year,25802,47556
Cleveland State University,16936,Ohio,0.5497756258856873,0.0015351913084553,0.0297590930562116,0.1728271138403401,0.043162494095418,0.0010628247520075,0.6162612187057156,0.0256849315068493,0.0852031176192725,48300,20,15135.0,Public,4 Year,24185,28552
Coastal Carolina University,9976,South Carolina,0.5508219727345629,0.004009623095429,0.0077185244587008,0.1908580593424218,0.0348837209302325,0.0013031275060144,0.7014835605453087,0.0405974338412189,0.0138331996792301,44700,14,11263.0,Public,4 Year,20726,35838
Colgate University,2888,New York,0.5436288088642659,0.0006925207756232,0.0356648199445983,0.0415512465373961,0.0841412742382271,0.0010387811634349,0.6724376731301939,0.034972299168975,0.0872576177285318,68400,26,8864.0,Private,4 Year,69865,69865
College of Charleston,11456,South Carolina,0.6397520949720671,0.0018331005586592,0.0157995810055865,0.0718400837988826,0.0417248603351955,0.0011347765363128,0.8049057262569832,0.0350034916201117,0.0146648044692737,47300,20,11180.0,Public,4 Year,24904,44086
College of the Holy Cross,2787,Massachusetts,0.4901327592393254,0.0017940437746681,0.0505920344456404,0.0394689630426982,0.1062073914603516,0.0003588087549336,0.6864011481880158,0.0351632579834947,0.0143523501973448,61800,24,10741.0,Private,4 Year,67290,67290
Colorado Christian University,5787,Colorado,0.6372904786590634,0.0062208398133748,0.0271297736305512,0.0675652324174874,0.1076550889925695,0.0027648176948332,0.7026092966994989,0.0392258510454466,0.0012096077414895,46800,2,19993.0,Private,4 Year,43712,43712
Colorado College,2067,Colorado,0.5370101596516691,0.0043541364296081,0.0454765360425737,0.02322206095791,0.089017900338655,0.0,0.6550556361877117,0.0836961780358006,0.0691823899371069,53100,23,12429.0,Private,4 Year,67982,67982
