name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion
American InterContinental University Online,11900,Illinois,0.6745378151260504,0.00865546218487395,0.008991596638655463,0.4550420168067227,0.05184873949579832,0.006050420168067227,0.34327731092436975,0.03226890756302521,0.000588235294117647
American International College,3629,Massachusetts,0.6971617525489116,0.003031138054560485,0.015982364287682557,0.13529898043538166,0.059520529071369524,0.003306696059520529,0.6403968035271425,0.02700468448608432,0.0019289060347203086
American Public University system,57539,West Virginia,0.38250577868923685,0.006899668051234814,0.019221745251047116,0.20580823441491858,0.0982985453344688,0.009141625679973583,0.5663463042458159,0.035680147378299935,0.008620240184918056
American River College,29133,California,0.5409329626197096,0.007791851165345141,0.10623691346582913,0.10345656128788659,0.2071190745889541,0.008890261902310095,0.4642158377098136,0.05859334774997425,0.005320427007173995
American Sentinel University,3173,Colorado,0.8247715096123542,0.006618342262842736,0.04034037188780334,0.09076583674755752,0.014182161991805862,0.003781909864481563,0.5033091711314214,0.005357705641348881,0.005988023952095809
Anderson University (Ind.),2399,Indiana,0.5710712796998749,0.003334722801167153,0.010421008753647354,0.09712380158399334,0.02334305960817007,0.0020842017507294707,0.7582325969153814,0.011254689453939141,0.030846185910796166
Anderson University (S.C.),3112,South Carolina,0.6625964010282777,0.007069408740359897,0.012210796915167094,0.08611825192802057,0.032133676092544985,0.0019280205655526992,0.7789203084832905,0.0,0.006426735218508998
Andrews University,3418,Michigan,0.4631363370392042,0.002925687536571094,0.09215915740198946,0.20538326506729082,0.1339964891749561,0.0038033937975424223,0.30514921006436513,0.02077238150965477,0.21269748390871854
Angelina College,5148,Texas,0.6336441336441336,0.00641025641025641,0.008547008547008548,0.1285936285936286,0.19813519813519814,0.0011655011655011655,0.627039627039627,0.029331779331779332,0.000777000777000777
Angelo State University,6494,Texas,0.5654450261780105,0.004311672312904219,0.011395133969818293,0.08099784416384355,0.2885740683708038,0.0013858946720049275,0.537419156144133,0.02386818601786264,0.02817985833076686
