name,early_career_pay,stem_percent
Dunwoody College of Technology,53400,24
University of Minnesota-Duluth,53200,30
Saint Mary's University of Minnesota,53000,5
Saint Cloud State University,51600,15
Augsburg University,50500,11
Minnesota State University-Mankato,51600,13
Hamline University,48100,5
College of Saint Benedict,49100,18
Concordia University-Saint Paul,49200,5
Winona State University,49700,10
The College of Saint Scholastica,51200,12
University of Minnesota-Crookston,49200,4
Metropolitan State University,50200,11
Bethel University (Minnesota),51000,9
University of Minnesota-Morris,46100,27
Concordia College at Moorhead,46800,21
Minneapolis College of Art and Design,47400,0
St Catherine University,48800,2
Mississippi State University,51100,27
University of Mississippi,48500,12
Millsaps College,49300,24
University of Southern Mississippi,45100,11
Mississippi College,45200,20
Jackson State University,41700,16
Belhaven University,41200,2
Delta State University,40800,5
William Carey University,41100,6
Alcorn State University,40900,19
Mississippi University for Women,39500,2
Tougaloo College,36900,18
Rust College,34800,32
Mississippi Valley State University,32500,11
Missouri University of Science and Technology,67300,80
Washington University in St Louis,64800,30
University of Missouri-Columbia,52300,17
Saint Louis University,54200,13
Barnes-Jewish College Goldfarb School of Nursing,55000,0
William Jewell College,51400,12
Rockhurst University,54000,11
Westminster College (Missouri),49400,25
University of Missouri-Kansas City,50800,24
University of Missouri-St Louis,48700,13
Missouri State University-Springfield,45900,9
Truman State University,47900,16
Northwest Missouri State University,46900,26
Park University,48500,7
Webster University,46500,2
University of Central Missouri,46900,45
Avila University,45900,3
Maryville University of Saint Louis,46800,2
Drury University,42600,12
Southeast Missouri State University,43700,9
Lindenwood University,45100,9
Kansas City Art Institute,42500,0
Missouri Western State University,43400,14
Stephens College,42800,6
Columbia College (Missouri),44100,2
Montana Tech of the University of Montana,61200,61
Montana State University,53700,31
Carroll College,48200,25
The University of Montana,46500,8
Rocky Mountain College,46000,12
University of Providence,44700,16
Montana State University-Billings,43300,5
Montana State University-Northern,43400,1
The University of Montana-Western,35400,4
University of Nebraska-Lincoln,51500,20
Creighton University,53500,9
University of Nebraska Medical Center,53400,6
Clarkson College,50900,0
Nebraska Methodist College of Nursing & Allied Health,51300,0
University of Nebraska at Omaha,49400,18
Union College (Nebraska),49100,9
Hastings College,48600,14
Doane University-Arts & Sciences,47300,21
Bellevue University,49400,23
University of Nebraska at Kearney,44300,8
Nebraska Wesleyan University,45700,8
Midland University,43800,7
College of Saint Mary,43900,9
Doane University-Graduate and Professional Studies,43200,0
Chadron State College,42300,3
Peru State College,42600,6
Wayne State College,40600,11
Concordia University-Nebraska,39700,5
Sierra Nevada College,54000,2
University of Nevada-Reno,52700,24
