total_enrollment,women_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,in_state_total,out_of_state_total
2050,0.6248780487804878,0.01804878,46400,7,16225,Private,48910,48910
3504,0.6004566210045662,0.067636986,50000,12,15761,Private,63424,63424
6689,0.5993422036178802,0.013903424,49700,14,13154,Private,43028,43028
4304,0.6064126394052045,0.026022305,44900,5,11503,Public,14198,26816
3214,0.560360921,0.033914126,42100,10,22523,Private,35765,35765
12151,0.5868652785778948,0.098016624,45100,9,20220,Private,26600,26600
2641,0.6134040136312003,0.001514578,35300,2,14397,Private,34235,34235
4489,0.6219648028514145,0.016039207,49000,12,17144,Private,44796,44796
5096,0.6815149136577708,0.008634223,47300,9,12984,Public,25086,41046
11225,0.4882850779510022,0.051046771,53100,24,5751,Public,16140,25053
9515,0.5841303205465055,0.071150815,58500,9,27017,Private,63012,63012
15902,0.6423720286756383,0.051943152,53400,15,22969,Private,58528,58528
5967,0.6143790849673203,0.008714597,59900,8,20672,Private,63515,63515
4330,0.6224018475750578,0.032101617,47900,4,19988,Private,53072,53072
2385,0.5618448637316562,0.061215933,48200,21,17248,Private,51750,51750
6935,0.6713770728190339,0.1182408074981975,65900,2,27364,Private,49105,49105
2073,0.6054027978774723,0.13555234,53600,31,11062,Private,66500,66500
3970,0.4511335012594458,0.034005038,64000,40,17219,Private,59680,59680
11745,0.5250744997871435,0.051426139,57800,25,19219,Private,54590,54590
13381,0.5853822584261266,0.031761453,45000,12,6064,Public,18578,29064
2262,0.717948718,0.1330680813439434,49000,0,28566,Private,61910,61910
3441,0.6832316187154897,0.091833769,52300,15,18781,Private,44656,44656
5931,0.7904232001348845,0.018715225,46800,2,19767,Private,38558,38558
11319,0.3733545366198427,0.2917218835586183,86300,69,4995,Private,67342,67342
3206,0.6375545851528385,0.010605115,51100,6,11215,Private,54690,54690
8237,0.6215855287119096,0.043826636,50200,13,5812,Public,16563,27638
8552,0.6199719363891487,0.039873714,48500,14,15550,Private,48510,48510
3337,0.522625112,0.05783638,56000,13,20296,Private,57605,57605
2461,0.4628199918732222,0.062576189,45800,9,26798,Private,46736,46736
50081,0.5145064994708572,0.1525927996645434,55300,20,6394,Public,24782,50087
7099,0.2629947879983096,0.1539653472320045,65000,81,9821,Public,26402,44482
2688,0.6447172619047619,0.004464286,40700,0,19691,Private,26370,26370
22729,0.542346782,0.040828897,46500,9,5752,Public,18642,37800
2533,0.5175681010659298,0.1073825503355704,60400,19,8846,Private,69980,69980
2810,0.2405693950177936,0.1217081850533807,65700,69,19034,Private,51138,51138
3410,0.6064516129032258,0.1205278592375366,44500,7,9457,Public,13674,13674
4984,0.5941011235955056,0.078250401,45200,20,10940,Private,28326,28326
20138,0.4859469659350481,0.038732744,51100,27,13182,Public,18850,33450
2696,0.8130563798219584,0.020400593,39500,2,8761,Public,14464,14464
