name,net_cost,type,degree_length,in_state_total,out_of_state_total
Clarkson College,15644.0,Private,4 Year,22318,22318
Clarkson University,15359.0,Private,4 Year,64352,64352
Clear Creek Baptist Bible College,5565.0,Private,4 Year,13600,13600
Cleary University,9551.0,Private,4 Year,29850,29850
Clemson University,6666.0,Public,4 Year,25802,47556
Cleveland Institute of Art,25166.0,Private,4 Year,56441,56441
Cleveland Institute of Music,31670.0,Private,4 Year,57035,57035
Cleveland State University,15135.0,Public,4 Year,24185,28552
Clinton College,5590.0,Private,2 Year,19571,19571
Clinton Community College,5291.0,Public,2 Year,16590,21596
Cloud County Community College,4654.0,Public,2 Year,8930,9370
Coahoma Community College,757.0,Public,2 Year,7416,7866
Coastal Alabama Community College,5169.0,Public,2 Year,10540,14410
Coastal Bend College,4851.0,Public,2 Year,7746,10056
Coastal Carolina University,11263.0,Public,4 Year,20726,35838
Coe College,15006.0,Private,4 Year,54480,54480
Coffeyville Community College,2265.0,Public,2 Year,8340,9810
Coker College,14032.0,Private,4 Year,38418,38418
Colby College,10039.0,Private,4 Year,69400,69400
Colby Community College,5511.0,Public,2 Year,7320,9208
Colby-Sawyer College,20749.0,Private,4 Year,56662,56662
Colgate University,8864.0,Private,4 Year,69865,69865
College for Creative Studies,29156.0,Private,4 Year,52910,52910
College of Charleston,11180.0,Public,4 Year,24904,44086
College of Coastal Georgia,8395.0,Public,4 Year,13491,20098
College of Saint Mary,16862.0,Private,4 Year,28050,28050
College of Southern Idaho,4727.0,Public,2 Year,9950,14300
College of William and Mary,3528.0,Public,4 Year,35636,56937
College of the Atlantic,15977.0,Private,4 Year,53289,53289
College of the Holy Cross,10741.0,Private,4 Year,67290,67290
College of the Muscogee Nation,18161.0,Public,2 Year,15638,24053
College of the Ozarks,10875.0,Private,4 Year,26760,26760
College of the Redwoods,4583.0,Public,2 Year,9649,17419
College of the Siskiyous,7296.0,Public,2 Year,9430,17170
Colorado Christian University,19993.0,Private,4 Year,43712,43712
Colorado College,12429.0,Private,4 Year,67982,67982
Colorado Mesa University,13895.0,Public,4 Year,20168,33365
Colorado Mountain College,3332.0,Public,2 Year,14358,25548
Colorado Northwestern Community College,8856.0,Public,2 Year,12276,15255
Colorado School of Mines,19089.0,Public,4 Year,32133,51753
Columbia College,16236.0,Private,4 Year,27400,27400
Columbia College,16236.0,Private,4 Year,30512,30512
Columbia College Chicago,24841.0,Private,4 Year,41188,41188
Columbia International University,9247.0,Private,4 Year,31840,31840
Columbus College of Art and Design,23110.0,Private,4 Year,45590,45590
Columbus State University,9965.0,Public,4 Year,17080,30562
Commonwealth Technical Institute,25458.0,Private,2 Year,22304,22304
Conception Seminary College,24098.0,Private,4 Year,34847,34847
Concord University,8754.0,Public,4 Year,16884,26308
Connecticut College,11759.0,Private,4 Year,69970,69970
Connors State College,4649.0,Public,2 Year,10360,15063
Converse College,15968.0,Private,4 Year,29620,29620
Cooper Union for the Advancement of Science and Art,9597.0,Private,4 Year,63338,63338
Copiah-Lincoln Community College,2286.0,Public,2 Year,7030,9030
Coppin State University,8528.0,Public,4 Year,17015,23286
Corban University,22102.0,Private,4 Year,43268,43268
Cornell College,13150.0,Private,4 Year,51683,51683
Cornell University,9980.0,Private,4 Year,70004,70004
Cornerstone University,15680.0,Private,4 Year,33800,33800
Corning Community College,4268.0,Public,2 Year,14948,19748
Cornish College of the Arts,27328.0,Private,4 Year,54042,54042
Cottey College,10679.0,Private,4 Year,28850,28850
Covenant College,16947.0,Private,4 Year,44590,44590
Cowley County Community College,5137.0,Public,2 Year,8200,9910
Creighton University,19205.0,Private,4 Year,50952,50952
Crowder College,4657.0,Public,2 Year,9104,10604
Crowley's Ridge College,9235.0,Private,2 Year,19350,19350
Crown College,17370.0,Private,4 Year,34860,34860
Culinary Institute of America,30872.0,Private,4 Year,44280,44280
Culver-Stockton College,14123.0,Private,4 Year,35200,35200
Cumberland University,14394.0,Private,4 Year,32180,32180
Curry College,24604.0,Private,4 Year,55605,55605
D'Youville College,13898.0,Private,4 Year,38974,38974
Daemen College,9821.0,Private,4 Year,41495,41495
Dakota College at Bottineau,6162.0,Public,2 Year,11778,13654
Dakota State University,10254.0,Public,4 Year,16149,19122
Dakota Wesleyan University,15330.0,Private,4 Year,34650,34650
Dallas Baptist University,16618.0,Private,4 Year,36862,36862
Dallas Christian College,17276.0,Private,4 Year,26630,26630
Dalton State College,3402.0,Public,4 Year,13196,21618
Dartmouth College,8094.0,Private,4 Year,71209,71209
Davenport University,17984.0,Private,4 Year,32728,32728
Davidson College,12699.0,Private,4 Year,65819,65819
Davis College,17459.0,Private,4 Year,25250,25250
Dawson Community College,4021.0,Public,2 Year,9795,13845
DePaul University,19812.0,Private,4 Year,54210,54210
DePauw University,14723.0,Private,4 Year,62724,62724
DeSales University,20111.0,Private,4 Year,50400,50400
Dean College,21924.0,Private,2 Year,56570,56570
Defiance College,20752.0,Private,4 Year,42950,42950
Delaware College of Art and Design,22210.0,Private,2 Year,37845,37845
Delaware State University,17872.0,Public,4 Year,20058,29094
Delaware Valley University,19871.0,Private,4 Year,53780,53780
Delta State University,6632.0,Public,4 Year,14968,14968
Denison University,41577.0,Private,4 Year,64670,64670
Denmark Technical College,6312.0,Public,2 Year,9424,13174
Des Moines Area Community College,9964.0,Public,2 Year,12012,16722
Dickinson College,14932.0,Private,4 Year,68359,68359
Dickinson State University,7321.0,Public,4 Year,13663,16442
Dillard University,15029.0,Private,4 Year,28199,28199
Dine College,8074.0,Public,2 Year,6020,6020
Divine Word College,6010.0,Private,4 Year,17185,17185
Dixie State University,13744.0,Public,4 Year,11581,21379
Dodge City Community College,7469.0,Public,2 Year,9490,10330
Dominican College of Blauvelt,21135.0,Private,4 Year,42150,42150
Dominican University,13913.0,Private,4 Year,43675,43675
Dominican University of California,28639.0,Private,4 Year,60660,60660
Dordt College,19540.0,Private,4 Year,40460,40460
Drake University,21139.0,Private,4 Year,51924,51924
Drew University,18085.0,Private,4 Year,53608,53608
Drexel University,26049.0,Private,4 Year,67358,67358
Drury University,13659.0,Private,4 Year,36461,36461
Duke University,3813.0,Private,4 Year,70873,70873
Duquesne University,17084.0,Private,4 Year,50764,50764
Dutchess Community College,3819.0,Public,2 Year,15922,19786
Earlham College,13070.0,Private,4 Year,56850,56850
East Carolina University,8961.0,Public,4 Year,16794,33071
East Central Community College,3339.0,Public,2 Year,6700,8800
East Central University,7339.0,Public,4 Year,12324,23214
East Georgia State College,8488.0,Public,2 Year,12750,20496
East Mississippi Community College,2524.0,Public,2 Year,8240,11240
East Stroudsburg University of Pennsylvania,11682.0,Public,4 Year,20784,33216
East Tennessee State University,12568.0,Public,4 Year,17749,36931
East Texas Baptist University,15589.0,Private,4 Year,35449,35449
Eastern Arizona College,4217.0,Public,2 Year,9490,15490
Eastern Connecticut State University,13169.0,Public,4 Year,24916,36156
Eastern Illinois University,11919.0,Public,4 Year,21685,23905
Eastern Kentucky University,8357.0,Public,4 Year,18314,28092
Eastern Maine Community College,6222.0,Public,2 Year,12746,15566
Eastern Mennonite University,18802.0,Private,4 Year,48260,48260
Eastern Michigan University,11588.0,Public,4 Year,23813,23813
Eastern Nazarene College,18996.0,Private,4 Year,35222,35222
Eastern Oklahoma State College,6464.0,Public,2 Year,10474,14091
Eastern Oregon University,10894.0,Public,4 Year,18719,30779
Eastern University,20962.0,Private,4 Year,44376,44376
Eastern Washington University,7461.0,Public,4 Year,20116,37237
Eastern Wyoming College,6696.0,Public,2 Year,9416,13928
Ecclesia College,14126.0,Private,4 Year,20950,20950
Eckerd College,18204.0,Private,4 Year,57128,57128
Edgewood College,14972.0,Private,4 Year,40520,40520
Edinboro University of Pennsylvania,11900.0,Public,4 Year,19951,24470
Edmonds Community College,5614.0,Public,2 Year,11871,11871
Edward Waters College,12146.0,Private,4 Year,21007,21007
Elizabeth City State University,400.0,Public,4 Year,12034,16034
Elizabethtown College,16549.0,Private,4 Year,58310,58310
Ellsworth Community College,9606.0,Public,2 Year,11940,13110
Elmhurst College,13975.0,Private,4 Year,47421,47421
Elmira College,22024.0,Private,4 Year,53900,53900
Elon University,19047.0,Private,4 Year,47549,47549
Emerson College,28476.0,Private,4 Year,64542,64542
Emmanuel College,24801.0,Private,4 Year,28428,28428
Emmanuel College,24801.0,Private,4 Year,54798,54798
Emmaus Bible College,13718.0,Private,4 Year,26900,26900
Emory & Henry College,15500.0,Private,4 Year,47235,47235
Emory University,17035.0,Private,4 Year,65762,65762
Emporia State University,8949.0,Public,4 Year,15670,29587
Endicott College,23168.0,Private,4 Year,48776,48776
Erskine College,14730.0,Private,4 Year,45460,45460
Eureka College,12785.0,Private,4 Year,35010,35010
Evangel University,18452.0,Private,4 Year,31818,31818
Everett Community College,5181.0,Public,2 Year,12917,12917
Fairfield University,21409.0,Private,4 Year,63060,63060
Fairmont State University,8571.0,Public,4 Year,16518,25328
Faith Baptist Bible College and Theological Seminary,14874.0,Private,4 Year,23676,23676
Fashion Institute of Technology,7791.0,Public,4 Year,20220,30000
Faulkner University,17140.0,Private,4 Year,29440,29440
Fayetteville State University,3727.0,Public,4 Year,13151,24759
Felician University,17731.0,Private,4 Year,47195,47195
Ferris State University,9294.0,Public,4 Year,22524,22524
Ferrum College,13876.0,Private,4 Year,45675,45675
Finger Lakes Community College,7552.02,Public,2 Year,14895,17187
Finlandia University,16057.0,Private,4 Year,31558,31558
Fisher College,23605.0,Private,4 Year,47310,47310
Fisk University,17196.0,Private,4 Year,32270,32270
Fitchburg State University,8595.0,Public,4 Year,21277,27357
Five Towns College,16799.0,For Profit,4 Year,34460,34460
Florida Agricultural and Mechanical University,9269.0,Public,4 Year,16421,28362
Florida Atlantic University,8003.0,Public,4 Year,17935,33491
Florida College,14424.0,Private,4 Year,25512,25512
Florida Gulf Coast University,8912.0,Public,4 Year,16274,35318
